title,attack_type,attack_type_code,description,year,month,day,Africa,Asia,Australia,Europe,North America,South America,reference_title,reference_url
Cyber attack on a provincial government in Italy,Hacking,3,"Provincia di Perugia - Perugia, Umbria, Italy",2023,10,1,0,0,0,1,0,0,Attacco hacker alla Provincia - Intervenuto subito il team della 'cybersecurity',provincia.perugia.it
"Cyber attack on a city government in Texas, USA",Hacking,3,"City of Harlingen - Harlingen, Texas, USA (Cameron County)",2023,10,17,0,0,0,0,1,0,City of Harlingen recovering from cyberattack,krgv.com
Australian hair salon Facebook page hacked,Hacking,3,"Logan, Queensland, Australia",2023,10,16,0,0,1,0,0,0,"Scammers take over photographer's Facebook account, prompting cyber security warning",abc.net.au
Cyber attack on a psychiatric facility in Switzerland,Hacking,3,"Psychiatrie Baselland - Liestal, Canton of Basel-Landschaft, Switzerland",2023,10,16,0,0,0,1,0,0,Cyberangriff auf die Psychiatrie Baselland,pbl.ch
Cyber attack on a ballet in Hong Kong,Hacking,3,"Hong Kong Ballet - Hong Kong, People's Republic of China",2023,10,1,0,1,0,0,0,0,HK Ballet website in ransomware attack,thestandard.com.hk
Cyber attack on a consulting company in Denmark,Hacking,3,"Patriotisk Selskab - Odense, Denmark",2023,10,16,0,0,0,1,0,0,Opdatering mandag den 16. oktober 2023,patriotisk.dk
Facebook page of an Australian photographer hacked,Hacking,3,"Caloundra, Queensland, Australia",2023,10,15,0,0,1,0,0,0,"Scammers take over photographer's Facebook account, prompting cyber security warning",abc.net.au
DDoS attacks on websites of public institutions in Belgium,Ddos,2,Belgium,2023,10,15,0,0,0,1,0,0,Plusieurs sites de services publics touchés par des cyberattaques,lesoir.be
Cyber attack on a building materials supplier in Belgium,Hacking,3,"Verhelst Group - Oudenburg, West-Vlaanderen, Belgium",2023,10,1,0,0,0,1,0,0,Bouwbedrijf Verhelst Groep uit Oudenburg 'voor 90 procent' opnieuw operationeel na cyberaanval,vrt.be
DDoS attacks on Guatemala government websites,Ddos,2,Guatemala,2023,10,14,0,0,0,0,1,0,Hackers attack Guatemalan government webpages in support of pro-democracy protests,abcnews.go.com
Cyber attack on a service provider for the healthcare sector in the USA,Hacking,3,"Henry Schein - Melville, New York, USA (Suffolk County)",2023,10,14,0,0,0,0,1,0,Henry Schein Provides Information on Cybersecurity Incident,businesswire.com
Cyber attack on a care facility in France,Hacking,3,"Ehpad 'Les Hortensias' - Marigny-le-Lozon, Normandy, France",2023,10,13,0,0,0,1,0,0,"Manche. Un Ehpad victime d'une cyberattaque, des pirates demandent 95 000 euros",actu.fr
"DDoS attack on the website of a city government in Hesse, Germany",Ddos,2,"Frankfurt/Main, Hesse, Germany",2023,10,12,0,0,0,1,0,0,Hackerangriff legt Website der Stadt Frankfurt lahm,stern.de
DDoS attack on the website of a city government in Germany,Ddos,2,"Nuremberg, Bavaria, Germany",2023,10,12,0,0,0,1,0,0,'Kein Erpressergeld an Cyber-Kriminelle': Hacker-Angriffe laufen weiter - Stadt Nürnberg mit Statement,infranken.de
DDoS attack on the website of a city government in Germany,Ddos,2,"Cologne, North Rhine-Westphalia, Germany",2023,10,12,0,0,0,1,0,0,Dortmund und Köln melden Cyberangriffe auf Stadt-Server,waz.de
DDoS attack on the website of a city government in Germany,Ddos,2,"Dortmund, North Rhine-Westphalia, Germany",2023,10,12,0,0,0,1,0,0,Dortmund und Köln melden Cyberangriffe auf Stadt-Server,waz.de
DDoS attack on the website of a city government in Germany,Ddos,2,"dresden.de - Dresden, Saxony, Germany",2023,10,12,0,0,0,1,0,0,Cyberangriff: Darum war Dresden.de am Donnerstag zeitweise nicht erreichbar,dnn.de
DDoS attack on the website of a city government in Germany,Ddos,2,"hannover.de - Hannover, Lower Saxony, Germany",2023,10,12,0,0,0,1,0,0,Unsere Website war Opfer eines Bot-Angriffs,hannover.de
Cyber attack on a fire/emergency service in France,Hacking,3,"Service Départemental d'Incendie et de Secours des Pyrénées-Atlantiques (SDIS 64) - Pau, Nouvelle-Aquitaine, France",2023,10,12,0,0,0,1,0,0,Les pompiers des Pyrénées-Atlantiques visés par une cyberattaque,francebleu.fr
Billboards in Israel hacked,Hacking,3,Israel,2023,10,12,0,1,0,0,0,0,Billboards in Israel were briefly hacked to display pro-Hamas messages as cyberwar ramps up,cnbc.com
"Ransomware at the judicial authority of Kansas, USA",Ransomware,6,"Kansas Office of Judicial Administration / Kansas Judicial Branch - Topeka, Kansas, USA (Shawnee County)",2023,10,12,0,0,0,0,1,0,Court Systems Security Incident,kscourts.org
DDoS attacks on websites of public institutions in Belgium,Ddos,2,Belgium,2023,10,11,0,0,0,1,0,0,Cyberangriff auf föderale Behörden und Einrichtungen - 'nicht weiter ungewöhnlich',brf.be
Cyber attack on a municipality in Germany,Hacking,3,"Grasellenbach, Hesse, Germany (Landkreis Bergstraße)",2023,10,1,0,0,0,1,0,0,Die Gemeinde Grasellenbach ist aktuell von einem Hackerangriff betroffen,gemeinde-grasellenbach.de
Unauthorized access to a learning platform,Hacking,3,"Casio ClassPad - Tokyo, Japan",2023,10,11,0,1,0,0,0,0,Casio discloses data breach impacting customers in 149 countries,bleepingcomputer.com
Unauthorized access at U.S. e-learning provider,Hacking,3,"3rd Millennium Classrooms - Austin, Texas, USA (Travis County, Hays County, Williamson County)",2023,1,1,0,0,0,0,1,0,Student and alumni data subject to information security breach,cavalierdaily.com
Ransomware at a service provider for the healthcare sector in the USA,Ransomware,6,"Akumin - Plantation, Florida, USA (Broward County)",2023,10,11,0,0,0,0,1,0,Form 8-K,sec.gov
Cyber attack on an airline in Spain,Hacking,3,"Air Europa - Llucmajor, Islas Baleares, Spain",2023,1,1,0,0,0,1,0,0,Air Europa verliert Kundendaten bei Cyberangriff,airliners.de
"Cyber attack on a building materials manufacturer in California, USA",Hacking,3,"Simpson Manufacturing - Pleasanton, California, USA (Alameda County)",2023,10,10,0,0,0,0,1,0,Form 8-K,d18rn0p25nwr6d.cloudfront.net
Instagram accounts of Argentine TV actors hacked,Hacking,3,LAM - Argentina,2023,10,1,0,0,0,0,0,1,Sigue el ataque cibernético a LAM: otra angelita fue víctima de los hackers,losandes.com.ar
Unauthorized access at a college in Israel,Hacking,3,"Kiryat Ono / קִרְיַת אוֹנוֹ, Israel",2023,10,1,0,1,0,0,0,0,Billboards in Israel were briefly hacked to display pro-Hamas messages as cyberwar ramps up,cnbc.com
DDoS attack on a emergency service in Israel,Ddos,2,איחוד הצלה / United Hatzalah - Israel,2023,10,9,0,1,0,0,0,0,United Hatzalah donation website targeted by cyberattack,jpost.com
Cyber incident at a university in the Philippines,Cyber incident,0,"De La Salle University (DLSU) - Manila / Lungsod ng Maynila, Metro Manila / Kalakhang Maynila, Philippines",2023,10,9,0,1,0,0,0,0,De La Salle University experienced a cybersecurity incident,facebook.com
DDoS attack at a home renovation application contest of the Slovak Environment Agency,Ddos,2,Slovenská agentúra životného prostredia (SAŽP) / Obnov dom - Slovakia,2023,10,9,0,0,0,1,0,0,O štvrtú výzvu z programu Obnov dom bol rekordný záujem: Napriek útoku na server bolo 10 000 žiadostí zaregistrovaných za hodinu a desať minút.,sazp.sk
Cyber attack on a manufacturer of power transmission equipment in the UK,Hacking,3,"Volex - Basingstoke, England, United Kingdom",2023,10,1,0,0,0,1,0,0,Notice of Cyber Incident,volex.com
Cyber attack on a hospital in France,Hacking,3,"Centre Hospitalier de l'Ouest Vosgien - Neufchâteau, Grand Est, France",2023,10,7,0,0,0,1,0,0,"Deux hôpitaux des Vosges victimes d’une cyberattaque, consultations et interventions suspendues",leparisien.fr
DDoS attack on the website of a newspaper in Israel,Ddos,2,"The Jerusalem Post - Jerusalem / ירושלים, Israel",2023,10,7,0,1,0,0,0,0,Jerusalem Post’s Website Taken Down by Cyberattacks Day After Hamas Strikes Israel,thedailybeast.com
Ransomware at a bank in Mexico,Ransomware,6,Caja Popular Mexicana - Mexico,2023,1,1,0,0,0,0,1,0,"El Ciberataque a Caja Popular Mexicana no fue para «Robar Dinero, sino un «Secuestro de Datos»",talajalisconoticias.com
Unauthorized access at a statistics authority in the Philippines,Hacking,3,"Philippine Statistics Authority - Quezon City, Metro Manila / Kalakhang Maynila, Philippines",2023,10,7,0,1,0,0,0,0,Official Statement on alleged Data Breach,twitter.com
DDoS attack on the website of the Australian ministry of interior,Ddos,2,"Department of Home Affairs - Canberra, Australian Capital Territory, Australia",2023,10,6,0,0,1,0,0,0,Home Affairs and Immigration websites hit by denial-of-service cyber attacks,abc.net.au
Cyber attack on a city government in Brazil,Hacking,3,"Câmara Municipal de Salvador - Salvador, Bahai, Brazil",2023,10,6,0,0,0,0,0,1,Câmara Municipal de Salvador sofre tentativa de ataque cibernético,securityreport.com.br
Cyber attack on a hospital in Germany,Hacking,3,"Universitätsklinikum Frankfurt - Frankfurt/Main, Hesse, Germany",2023,10,6,0,0,0,1,0,0,Hackerangriff auf Uniklinik in Frankfurt,faz.net
DDoS attacks on Spanish websites,Ddos,2,Spain,2023,10,6,0,0,0,1,0,0,Host of EU summit Spain target of DDoS cyberattacks,reuters.com
Unauthorized access at a mass transit authority in France,Hacking,3,"Île-de-France Mobilités - Paris, Île-de-France, France",2023,1,1,0,0,0,1,0,0,Île-de-France Mobilités porte plainte pour tentative d’accès frauduleux sur des comptes Île-de-France Mobilités Connect,presse.iledefrance-mobilites.fr
"Unauthorized access to mails at a school district in Nevada, USA",Hacking,3,"Clark County School District - Las Vegas, Nevada, USA (Clark County)",2023,10,5,0,0,0,0,1,0,CCSD alerts families of cybersecurity incident that occurred earlier this month,news3lv.com
DDoS attacks on Finnish websites,Ddos,2,Finland,2023,10,4,0,0,0,1,0,0,Several Finnish websites report cyber-attacks,yle.fi
Telegram account of the Israeli president hacked,Hacking,3,Jitzchak Herzog / יצחק הרצוג - Israel,2023,10,4,0,1,0,0,0,0,"President Herzog's Telegram account hacked, Israel's Shin Bet probing",jpost.com
Cyberattacks on NATO sites?,Cyber incident,0,"NATO - Brussels, Région de Bruxelles-Capitale, Belgium",2023,1,1,0,0,0,1,0,0,NATO says it is addressing an apparent cyberattack after strategy documents posted online,edition.cnn.com
Cyber attack on a telecommunications provider,Hacking,3,"Lycamobile - London, United Kingdom",2023,10,1,0,0,0,1,0,0,A cyberattack disrupted Lyca Mobile services,securityaffairs.com
Cyber attack on a university of applied sciences in Germany,Hacking,3,"Hochschule Karlsruhe (HKA) - Karlsruhe, Baden-Württemberg, Germany",2023,10,2,0,0,0,1,0,0,IT-Infrastruktur der HKA Ziel eines Cyberangriffs,h-ka.statusinfo.live
Unauthorized access at a supplier of network infrastructure products in Taiwan,Hacking,3,"D-Link - Taipeh / 臺北市, Republic of China / Taiwan",2023,1,1,0,1,0,0,0,0,D-Link Corporation Provides Details about an Information Disclosure Security Incident,supportannouncement.us.dlink.com
"Cyber attack on a county government in Pennsylvania, USA",Hacking,3,"Butler County - Butler, Pennsylvania, USA (Butler County)",2023,10,2,0,0,0,0,1,0,Thousands of people affected by Butler County cyberattack,cbsnews.com
"Cyber attack on a judicial circuit in Florida, USA",Hacking,3,"First Judicial Circuit Court of Florida - Pensacola, Florida, USA (Escambia County)",2023,10,1,0,0,0,0,1,0,The First Judicial Circuit has experienced an information technology security event,firstjudicialcircuit.org
"Cyber attack on a mass transit company in Missouri, USA",Hacking,3,"Metro Transit - St. Louis, Missouri, USA",2023,10,2,0,0,0,0,1,0,"On Monday, Oct. 2, Metro Transit was the target of a cyber attack.",facebook.com
Facebook page an animal shelter in Austria hacked,Hacking,3,"Pfotenhilfe Lochen - Lochen am See, Upper Austria, Austria",2023,10,1,0,0,0,1,0,0,PFOTENHILFE-Facebookseite kurz vor Welttierschutztag gehackt - Tierhasser am Werk?,pfotenhilfe.org
Cyber attack on a taxi service in Macau,Hacking,3,"Macau, People's Republic of China",2023,10,1,0,1,0,0,0,0,Macau Radio Taxi targeted by hackers in cyber attack,macaubusiness.com
DDoS attack on the website of the British royal family,Ddos,2,"Royal Family - London, United Kingdom",2023,10,1,0,0,0,1,0,0,Pro-Russia hackers claim responsibility for crashing British royal family's website,abcnews.go.com
